Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,leaf1,Ethernet1,mlag_peer,leaf2,Ethernet1,True
l3leaf,leaf1,Ethernet2,spine,spine1,Ethernet2,True
l3leaf,leaf1,Ethernet3,spine,spine2,Ethernet2,True
l3leaf,leaf1,Ethernet4,server,host1,Eth1,True
l3leaf,leaf1,Ethernet5,server,host1,Eth2,True
l3leaf,leaf2,Ethernet1,mlag_peer,leaf1,Ethernet1,True
l3leaf,leaf2,Ethernet2,spine,spine1,Ethernet3,True
l3leaf,leaf2,Ethernet3,spine,spine2,Ethernet3,True
l3leaf,leaf2,Ethernet4,server,host1,Eth3,True
l3leaf,leaf2,Ethernet5,server,host1,Eth4,True
l3leaf,leaf3,Ethernet1,mlag_peer,leaf4,Ethernet1,True
l3leaf,leaf3,Ethernet2,spine,spine1,Ethernet4,True
l3leaf,leaf3,Ethernet3,spine,spine2,Ethernet4,True
l3leaf,leaf3,Ethernet4,server,host2,Eth1,True
l3leaf,leaf3,Ethernet5,server,host2,Eth2,True
l3leaf,leaf4,Ethernet1,mlag_peer,leaf3,Ethernet1,True
l3leaf,leaf4,Ethernet2,spine,spine1,Ethernet5,True
l3leaf,leaf4,Ethernet3,spine,spine2,Ethernet5,True
l3leaf,leaf4,Ethernet4,server,host2,Eth3,True
l3leaf,leaf4,Ethernet5,server,host2,Eth4,True
spine,spine1,Ethernet2,l3leaf,leaf1,Ethernet2,True
spine,spine1,Ethernet3,l3leaf,leaf2,Ethernet2,True
spine,spine1,Ethernet4,l3leaf,leaf3,Ethernet2,True
spine,spine1,Ethernet5,l3leaf,leaf4,Ethernet2,True
spine,spine2,Ethernet2,l3leaf,leaf1,Ethernet3,True
spine,spine2,Ethernet3,l3leaf,leaf2,Ethernet3,True
spine,spine2,Ethernet4,l3leaf,leaf3,Ethernet3,True
spine,spine2,Ethernet5,l3leaf,leaf4,Ethernet3,True
